fn,pa_declare,cost_declare,handler_initial,fonction_commit_reel,categorie,pa_source,cout_source,payeur_caisse,cout_sur_echec,remarque
affecter_engage,2,0,ouvrirAffecterEngage,confirmerAffectationSection,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
annuler_poursuites,2,0,ouvrirModalAffaires,annulerAffaire,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/'gouvernement,sans objet (cout=0 ou jamais preleve),
appeler_police_terrain,1,0,doAppelerPoliceTerrain,fermerModalPostes,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
archives,1,0,ouvrirArchivesTribunal,ouvrirDetailJugement,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
archives_police,1,0,doArchivesPolice,doArchivesPolice,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
arreter,3,500,doArreter,confirmerArrestation,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
article,2,300,doArticle,doArticle,COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
assigner_mission,1,0,doAssignerMission,confirmerMission,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
banquet_diplo,3,2000,ouvrirBanquetDiplomatique,confirmerBanquetDiplomatique,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
benediction_etat,2,0,doBenedictionEtat,doBenedictionEtat,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
blocus_portuaire,3,0,doBlocusPortuaire,doBlocusPortuaire,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
boire_verre,0,50,ouvrirModalInvitationSociale,envoyerInvitationSociale,COMMIT CONDITIONNEL,N/A,variable(possible data.js/dynamique),PJ (state.arg),OUI (meme cout),"MEILLEUR EXEMPLE EXISTANT de commit conditionnel propre : pa/cost/successRate threades en parametres depuis doOrder() jusqu'a envoyerInvitationSociale, state.arg -= cost UNIQUEMENT si la cible accepte (roll de succes). Neanmoins PA totalement decoratif : la seule utilisation de `pa` dans la chaine est `advanceTime(Math.max(0,pa||0))`, qui n'avance QUE l'horloge -- confusion potentielle avec une deduction."
cambrioler_caisse_commissariat,3,0,doCambriolerCaisseCommissariat,doCambriolerCaisseCommissariat,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
campagne_securite,2,500,doCampagneSecurite,doCampagneSecurite,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
censurer_media,2,0,ouvrirModalMedia,censurer,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
centre_anti_poison,1,150,doCentreAntiPoison,doCentreAntiPoison,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
choisir_accessoire_club,1,0,doChoisirAccessoireClub,confirmerAchatAccessoireClub,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
choisir_suite,1,0,ouvrirModalChoixSuite,entrerEtLouerSuite,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
commanditer_sondage,1,200,ouvrirModalTexteLibre,"executerOrdreTexte (branche action===commanditer_sondage -- PAS appliquerAllegement, trace auto erronee)",COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),sans objet,sans objet (cout=0 ou jamais preleve),"DISPATCHEUR PARTAGE verifie manuellement. Chain automatique faussee (proximite de fichier avec appliquerAllegement, fonction sans rapport). Reel : commit immediat dans executerOrdreTexte. +5 INF applique mais le cout declare (200 FR) n'est jamais deduit."
conference_presse,2,0,ouvrirForumNationalSousForumPresident,closeForumView,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consommer_buvette,1,50,doConsommerBuvette,doConsommerBuvette,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
consulter_archives_notariales,1,0,doConsulterArchivesNotariales,enigme1AfficherSuccession,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consulter_classement_joueurs_club,0,75,doConsulterClassementBookmaker,doConsulterClassementBookmaker,COMMIT IMMEDIAT,N/A,hardcode,PJ (state.arg),deterministe (pas de jet),"Deduction cout reelle mais hardcodee (-75, au lieu de lire data.js). A migrer."
consulter_confessions,2,0,doConsulterConfessions,doConsulterConfessions,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consulter_dossiers_gouv,2,0,doConsulterDossiersGouv,doConsulterDossiersGouv,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consulter_info_3,1,0,consulterInformateur,licencierInformateur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consulter_info_4,1,0,consulterInformateur,licencierInformateur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consulter_lobbyiste,1,300,doConsulterLobbyiste,doConsulterLobbyiste,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
consulter_manifeste,1,0,doConsulterManifeste,doConsulterManifeste,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
consulter_succession,1,100,doConsulterArchivesNotariales,enigme1AfficherSuccession,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
contester_resultats,3,200,ouvrirContesterResultats,soumettreConte,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
contrebande_port,3,0,doContrebandePort,doContrebandePort,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
corrompre_chantier,2,1500,doCorrompreChantier,doCorrompreChantier,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
corrompre_douanier,1,300,doCorrompreDoanier,doCorrompreDoanier,COMMIT CONDITIONNEL,aucun (jamais preleve),hardcode,PJ (state.arg),OUI (meme cout),
corrompre_fonct,3,1500,doCorruption,doCorruption,COMMIT CONDITIONNEL,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),OUI (meme cout),
corrompre_fonctionnaire_permis,2,800,doCorrompreFonctionnairePermis,doCorrompreFonctionnairePermis,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
corrompre_homologue_local,2,800,doCorrompreHomologueLocal,doCorrompreHomologueLocal,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
corrompre_journaliste,2,500,doCorruption,doCorruption,COMMIT CONDITIONNEL,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),OUI (meme cout),
corrompre_rdv_notaire,2,800,doCorrompreRdvNotaire,doCorrompreRdvNotaire,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
creer_comite,3,0,creerComite,validerCreationPoste,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
creer_poste_ministre,3,0,creerPosteMinistre,validerCreationPoste,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
declarer_guerre,5,0,ouvrirModalGuerreEmpire,"confirmerGuerreEmpire (via ouvrirModalGuerreEmpire l.5371, version async)",COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"BUG DECOUVERT (hors perimetre PA/cout) : ouvrirModalGuerreEmpire est DEFINI DEUX FOIS dans plateau-politique.js (l.1990 synchrone MORTE, l.5371 async VIVANTE -- la derniere declaration gagne). La branche jumelle dans executerOrdreEmpire (action==='declarer_guerre') est donc elle aussi totalement inatteignable."
declencher_election_club,1,0,doDeclencherElectionClub,confirmerDeclenchementElection,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
declencher_vote_confiance,3,0,ouvrirDeclencherVoteConfiance,confirmerDeclenchementVoteConfiance,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
decret_inutile,1,0,signerDecretInutile,publierDecret,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
decret_referendum,3,0,ouvrirForumNationalSousForumPresident,closeForumView,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
defense,2,300,doDefense,doDefense,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
demander_asile_politique,2,0,doDemanderAsilePolitique,doDemanderAsilePolitique,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_audience_ambassadeur,1,0,doDemanderAudienceAmbassadeur,doDemanderAudienceAmbassadeur,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_benediction,1,0,doDemanderBenediction,doDemanderBenediction,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_divorce,1,200,doDemanderDivorce,doDemanderDivorce,COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_info_loge,2,0,doLogeInfo,doLogeInfo,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_juge_instruction,1,0,doDemanderJugeInstruction,doDemanderJugeInstruction,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_mariage,1,0,ouvrirModalDemandeMariage,accepterDemandeMariage,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_naturalisation,2,0,ouvrirModalNaturalisation,confirmerDemandeNaturalisation,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demander_parler_loge,1,0,doLogePortail,doLogePortail,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
dementi,2,0,doDementiOfficiel,confirmerDementi,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demettre_ambassadeur_cible,1,0,ouvrirModalDemettreAmbassadeur,envoyerNotificationVraiJoueur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
demettre_lieutenant,2,0,doDemettreLieutenant,confirmerDemissionLieutenant,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
deposer_candidature,2,0,deposerCandidature,deposerCandidature,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
deposer_demande_permis,2,0,doDeposerDemandePermis,confirmerDepotPermis,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
diner_affaires,2,300,ouvrirModalInvitationSociale,envoyerInvitationSociale,COMMIT CONDITIONNEL,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),OUI (meme cout),"Meme mecanique et meme reserve que boire_verre (voir remarque). Cout(300) correctement conditionnel a l'acceptation ; PA(2) uniquement consomme par advanceTime(pa), jamais deduit de state.pa."
dissoudre_assemblee,4,0,doDissoudreAssemblee,doDissoudreAssemblee,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
distribuer_tract,1,0,doDistribuerTract,confirmerDistribuerTract,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
distribuer_tracts_match,2,0,doDistribuerTractsMatch,doDistribuerTractsMatch,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
donner_argent_pnj,1,0,doDonnerArgentPnj,confirmerDonArgent,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
donner_conf,2,0,doDonnerConference,confirmerConference,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
dormir,0,40,doDormir,doDormir,COUT DYNAMIQUE,N/A,"dynamique (table coutsDormir[state.currentBuilding], PAS le cost:40 de data.js)",PJ (state.arg),deterministe (pas de jet),"Le cost:40 declare dans data.js pour l'ordre generique 'dormir' n'est JAMAIS utilise : doDormir lit une table hardcodee separee coutsDormir[batiment], donc le vrai cout depend du lieu ou le joueur dort (variable selon l'etablissement). data.js cost:40 est un placeholder mort."
ecouter_rumeurs,1,0,ecouterRumeurs,ecouterRumeurs,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
emprunter,1,0,ouvrirModalPretBancaire,confirmerPretBancaire,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
emprunter_prive,1,0,ouvrirModalPretBancaire,confirmerPretBancaire,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
engager_officier,2,0,doEngagerOfficier,doEngagerOfficier,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
entrainer_section,2,0,doEntrainerSection,confirmerEntrainementSection,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
equiper_section,1,0,doEquiperSection,confirmerEquipementSection,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
escort_piege,3,800,doEscortPiege,confirmerEscortPiege,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
etat_urgence,3,0,doEtatUrgence,confirmerEtatUrgence,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
etouffer,3,800,doEtouffer,doEtouffer,COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
excommunier,3,0,ouvrirModalCibleRepertoire,executerOrdreContact (branche else generique),COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),sans objet,sans objet (cout=0 ou jamais preleve),DISPATCHEUR PARTAGE verifie manuellement. Handler existe mais aucune branche if(action===X) de executerOrdreContact ne traite 'excommunier' -> fallback generique (toast+journal uniquement). Aucun effet reel malgre la description (-15 IP -10 POP jamais applique). No-op deguise.
expedier_colis,2,200,ouvrirExpedierColis,confirmerExpedition,COMMIT DIFFERE,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
expulser_ambassadeur_cible,2,0,ouvrirModalExpulserAmbassadeur,envoyerNotificationVraiJoueur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
fabriquer_scandale,3,800,ouvrirFabrquerScandale,confirmerScandale,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
faire_disparaitre_cadavre,2,0,doFaireDisparaitreCadavre,doFaireDisparaitreCadavre,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
faire_don,1,200,doFaireDon,doFaireDon,COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
falsifier_document,3,300,ouvrirFalsifierDocument,confirmerFalsification,COMMIT DIFFERE,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
falsifier_manifeste,2,200,doFalsifierManifeste,doFalsifierManifeste,COMMIT CONDITIONNEL,aucun (jamais preleve),hardcode,PJ (state.arg),OUI (meme cout),
financer_communal,1,0,ouvrirModalFinancerCommunal,confirmerFinancementCommunal,COMMIT DIFFERE,aucun (jamais preleve),institution,state.country/buildingId,sans objet (cout=0 ou jamais preleve),
financer_oeuvre_culturelle,1,600,doFinancerOeuvreCulturelle,doFinancerOeuvreCulturelle,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
fiscal,2,200,ouvrirGestionBudget,validerRepartitionBudget,COMMIT DIFFERE,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
fixer_impots_locaux,2,0,ouvrirFixerImpotsLocauxReel,validerImpotsLocauxReel,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
fixer_impots_nationaux,2,0,ouvrirFixerImpotNational,validerImpotNational,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
fixer_prix_achat_entrepot,1,0,doOuvrirFixerPrixAchatEntrepot,confirmerFixerPrixAchatEntrepot,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
fixer_prix_vente_directe,1,0,doOuvrirFixerPrixVenteDirecte,confirmerFixerPrixVenteDirecte,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
fixer_repartition_production,1,0,doOuvrirFixerRepartitionProduction,confirmerFixerRepartitionProduction,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_candidature_commandant,1,0,ouvrirGestionCandidatures,appliquerNominationPosteEnAttente,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_candidature_directeur_entrepot,1,0,ouvrirGestionCandidatures,appliquerNominationPosteEnAttente,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_candidature_maire_adjoint,1,0,ouvrirGestionCandidatures,appliquerNominationPosteEnAttente,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_candidatures_directeurs,1,0,ouvrirGestionCandidatures,appliquerNominationPosteEnAttente,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_couvre_feu,2,0,ouvrirGererCouvreFeu,confirmerCouvreFeu,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_finances,1,0,openFinancesModal,deposerArgent,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gerer_local,1,0,ouvrirModalGererLocal,confirmerCreationOrga,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
gracier,2,0,ouvrirModalGracier,confirmerGrace,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
greve,3,0,doGrevePNJ,doGrevePNJ,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
imprimer_tracts,2,150,ouvrirModalImprimerTracts,confirmerImpression,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
imprimer_tracts_sportifs,1,0,doImprimerTractsSportifs,confirmerImpressionTractsSportifs,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
inspecter_cargaisons,2,0,doInspecterCargaisons,doInspecterCargaisons,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
inspecter_troupes,1,0,doInspecterTroupes,doInspecterTroupes,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
interdire_manif,2,0,ouvrirInterdireManif,confirmerInterdireManif,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"Ordre du 8/8 (Ministre Interieur), exception assumee a la regle ministere=national : cible le Social LOCAL d'une ville precise. PA(2) jamais preleve."
interview,1,0,doInterview,doInterview,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
investir,1,0,ouvrirInvestir,confirmerInvestir,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
jour_deuil,1,0,ouvrirForumNationalSousForumPresident,closeForumView,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
lancer_rumeur_cible,1,0,ouvrirModalLancerRumeur,confirmerLancerRumeur,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"advanceTime(pa) trompeur confirme par lecture : confirmerLancerRumeur(nomCible, pa, cost, successRate) recoit pa/cost en parametres (bon pattern) mais `cost` n'est JAMAIS utilise (mort), et `pa` sert UNIQUEMENT a advanceTime(Math.max(0,pa||0)) -- jamais soustrait de state.pa."
louer_local,1,0,ouvrirModalLouerLocal,confirmerLocation,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
louer_lot_ici,1,0,doOuvrirLouerLot,doLouerCeLot,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
marchander_vote,0,200,openMarchanderVoteModal,openMarchanderVoteModal,COMMIT IMMEDIAT,N/A,aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
marche_noir,1,0,doMarcheNoir,confirmerAchatPoison,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
mener_enquete,2,250,doMenerEnquete,confirmerMenerEnquete,COMMIT DIFFERE,aucun (jamais preleve),institution,pays/buildingId,deterministe (pas de jet),
mobiliser,2,0,doMobiliserPolice,confirmerMobilisationPolice,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
mobiliser_armee,4,0,doMobiliserArmee,confirmerMobilisation,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
mobiliser_police,2,0,doMobiliserPolice,confirmerMobilisationPolice,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
negocier_squatteurs,1,0,doNegocierSquatteurs,confirmerNegociation,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
