nom;batiment;salle;role;job;relation;FOR;CHA;DUP;INT;loyaute;photoUrl;date_ajout
Le Ministre des Affaires Étrangères (PNJ);Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;PNJ - Ministre des Affaires Etrangeres;min_ae;neutral;;;;;;non;
Garde Republicain (PNJ);Assemblee Nationale;Accueil;PNJ - Securite;garde;neutral;9;3;3;4;80;oui;
Hotesse Accueil (PNJ);Assemblee Nationale;Accueil;PNJ - Accueil;hotesse_accueil;neutral;;;;;;oui;
Agent Entretien (PNJ);Assemblee Nationale;Accueil;PNJ - Femme de menage;femme_menage;neutral;;;;;;oui;
President Laroche;Assemblee Nationale;Hemicycle;President de l'Assemblee (PNJ);president_assemblee;neutral;;;;;;oui;
Depute Martin;Assemblee Nationale;Hemicycle;Groupe majoritaire (PNJ);depute;neutral;;;;;;oui;
Depute Chen;Assemblee Nationale;Hemicycle;Opposition (PNJ);depute;neutral;;;;;;oui;
Lobbyiste Perrin;Assemblee Nationale;Couloirs;Lobbyiste (PNJ);lobbyiste;neutral;2;8;8;7;30;oui;
Journaliste Blanc;Assemblee Nationale;Couloirs;Correspondant parlementaire (PNJ);journaliste;neutral;2;7;6;8;35;oui;
Archiviste Parlementaire (PNJ);Assemblee Nationale;Salle des Archives;PNJ - Archiviste de l'Assemblee;archiviste;neutral;;;;;;oui;
Juge Fontaine;Tribunal de la Capitale;Salle d'audience;Presidente du Tribunal (PNJ);juge;neutral;2;6;5;9;65;non;
Procureur Saad;Tribunal de la Capitale;Salle d'audience;Ministere public (PNJ);procureur;neutral;;;;;;non;
Greffier Petit;Tribunal de la Capitale;Greffe;PNJ - Greffe;greffier;neutral;;;;;;non;
Laurent Barre;Banque Nationale de Republia;Accueil;PNJ - Directeur d'agence;directeur;neutral;;;;;;oui;2026-08-07
M. Fischer;Banque Privee Helvetia;Bureau prive;PNJ - Gestionnaire de patrimoine;banquier;neutral;2;7;7;9;50;non;
Dr. Vidal;Clinique Privee Saint-Luc;Reception;PNJ - Medecin chef;medecin;neutral;2;7;4;9;60;non;
Infirmiere Dupre;Dispensaire Public;Salle d'attente;PNJ - Soignante;infirmier;neutral;3;6;3;7;55;non;
Jeanine Dubois (PNJ);Dispensaire Public;EHPAD — Résidence Les Tilleuls;Ancienne institutrice;pensionnaire_ehpad;neutral;;;;;;oui;
Louis Chevillard (PNJ);Dispensaire Public;EHPAD — Résidence Les Tilleuls;Policier en retraite;pensionnaire_ehpad;neutral;;;;;;oui;
Noël Chauchay (PNJ);Dispensaire Public;EHPAD — Résidence Les Tilleuls;Agriculteur à la retraite;pensionnaire_ehpad;neutral;;;;;;oui;
Gardien de la Paix (PNJ);Commissariat Central;Accueil;Agent d'accueil;gardien_paix;neutral;;;;;;oui;
Gardien Dubois;Commissariat Central;Cellules de garde a vue;PNJ - Gardien de cellule;gardien;neutral;;;;;;oui;
Tristan Cabane (PNJ);Commissariat Central;Cellules de garde a vue;Detenu;detenu;neutral;;;;;;oui;
Raoul Toufaud (PNJ);Commissariat Central;Bureau du Commissaire;Commissaire Central;commissaire;neutral;7;5;6;7;65;oui;
Brigitte Menottes (PNJ);Commissariat Central;Bureau du Commissaire;Inspectrice;inspecteur;neutral;6;5;5;8;55;oui;
Nadège Standard (PNJ);La Tribune de Republia;Accueil;PNJ - Standardiste;hotesse;neutral;2;8;5;6;45;oui;
Camille Édito (PNJ);La Tribune de Republia;Accueil;PNJ - Journaliste;journaliste;neutral;2;7;6;8;35;oui;
Gustave Rotative (PNJ);La Tribune de Republia;Accueil;PNJ - Chef d'atelier;imprimeur;neutral;;;;;;oui;
Romain Castel;La Tribune de Republia;Redaction;PNJ - Redacteur en chef;redacteur;neutral;2;6;6;8;40;non;
Marie Leblanc;La Tribune de Republia;Redaction;Journaliste d'investigation;journaliste;enemy;2;7;6;8;35;non;
Le Portier;Loge Maconnique;Portail de la Loge;PNJ - Gardien de la Loge;portier;neutral;7;5;3;4;65;non;
Frere Gardien;Loge Maconnique;Hall d'accueil;PNJ - Membre de la Loge;membre_loge;neutral;;;;;;non;
Venerable Maitre Duval;Loge Maconnique;Bureau du Venerable Maitre;PNJ - Chef de la Loge;venerable;neutral;2;8;8;9;70;non;
Professeur Blanc;Universite de Luthecia;Amphitheatre;PNJ - Economiste influent;professeur;neutral;2;6;4;10;55;non;
Gerard (Armurier);Armurerie Legale Martinon;Magasin;PNJ - Vendeur;armurier;neutral;;;;;;non;
Fernande (Marchande);Marche Central;Etals du marche;PNJ - Commercante;marchande;neutral;3;7;5;6;45;non;
Marcel;Marche Central;Etals du marche;PNJ - Habitant du quartier;citoyen;neutral;;;;;;non;
Yvonne;Marche Central;Etals du marche;PNJ - Retraitee;citoyen;neutral;;;;;;non;
Secretaire Municipal Petit;Hotel de Ville de Luthecia;Hall d'accueil;PNJ - Secretariat general;secretaire;neutral;2;7;5;8;55;oui;
Le Maire (PNJ);Hotel de Ville de Luthecia;Hall d'accueil;Maire de Luthecia;maire;neutral;;;;;;non;
Hotesse Objets Trouves (PNJ);Hotel de Ville de Luthecia;Hall d'accueil;PNJ - Service des objets trouves;hotesse_objets_trouves;neutral;;;;;;oui;
Le Maire de Luthecia (PNJ);Hotel de Ville de Luthecia;Bureau du Maire;Maire de la Capitale;maire;neutral;;;;;;non;
Responsable Electoral (PNJ);Hotel de Ville de Luthecia;Salle des Elections;PNJ - Commission electorale;responsable_election;neutral;;;;;;non;
Christophe Bouquin (PNJ);Hotel de Ville de Luthecia;Salle des Archives;Archiviste Municipal;archiviste;neutral;;;;;;oui;
Percepteur Suprême Adolphe Taxe (PNJ);Le Tabernacle des Impôts;Nef des Formulaires;Grand Prêtre du Papyrusisme;grand_pretre;neutral;2;9;6;8;65;non;
Enfant de chœur Lacroix (PNJ);Le Tabernacle des Impôts;Nef des Formulaires;PNJ - Distributeur de formulaires;clerc;neutral;;;;;;non;
Percepteur Suprême Adolphe Taxe (PNJ);Le Tabernacle des Impôts;Sacristie Administrative;Grand Prêtre du Papyrusisme;grand_pretre;neutral;2;9;6;8;65;non;
Gaston Retard (PNJ);Centre Multinodal de Luthecia;Hall Principal;Chef de gare;chef_gare;neutral;;;;;;non;
Mireille Guichet (PNJ);Centre Multinodal de Luthecia;Hall Principal;Hôtesse d'accueil;hotesse;neutral;2;8;5;6;45;non;
Inspecteur Prosper Tampon (PNJ);Centre Multinodal de Luthecia;Hall des Douanes;Inspecteur des douanes;douanier;neutral;5;4;6;5;45;non;
Francisca Brel;Centre Commercial;Hall d'Entrée;Voleuse;criminel;neutral;;;;;;non;
Edgar Simore;Centre Commercial;Hall d'Entrée;Magicien saltimbanque;artiste;neutral;;;;;;non;
Sabri Coledur;Centre Artisanal;Travées;Mécanicien;commercant;neutral;3;7;6;6;40;non;
Céd' Labone;Centre Artisanal;Travées;Dealer;criminel;neutral;;;;;;non;
Henrico Stot;Centre Artisanal;Travées;Sécurité;agent_securite;neutral;;;;;;non;
Gretta Délieu (PNJ);Centre d'Affaires;Hall d'Entrée;PNJ - Accueil;hotesse;neutral;2;8;5;6;45;oui;
Moshe Maychan;Centre d'Affaires;Hall d'Entrée;Assassin;criminel;neutral;;;;;;non;
Harry Cover;Centre d'Affaires;Hall d'Entrée;Detective prive;inspecteur;neutral;6;5;5;8;55;non;
Correspondant Local (PNJ);Centre d'Affaires;La Tribune de Republia — Antenne Locale;PNJ - Journaliste;journaliste;neutral;2;7;6;8;35;non;
Notaire Fontenelle (PNJ);Office Notarial;Accueil;Notaire Officiel;notaire;neutral;;;;;;non;
Clerc Delhune (PNJ);Office Notarial;Accueil;Clerc de notaire;clerc_notaire;neutral;;;;;;non;
Clerc Delhune (PNJ);Office Notarial;Bureau des Successions;Clerc de notaire;clerc_notaire;neutral;;;;;;non;
Notaire Fontenelle (PNJ);Office Notarial;Bureau des Contrats;Notaire Officiel;notaire;neutral;;;;;;non;
Archiviste Notarial (PNJ);Office Notarial;Archives Notariales;PNJ - Gardien des Archives;archiviste_notaire;neutral;;;;;;non;
Entraineur Local (PNJ);Stade Municipal;Terrain;PNJ - Entraineur;entraineur;neutral;;;;;;non;
Commentateur Sportif (PNJ);Stade Municipal;Terrain;PNJ - Commentateur;commentateur;neutral;;;;;;non;
Entraineur Local (PNJ);Stade Municipal;Vestiaires;PNJ - Entraineur;entraineur;neutral;;;;;;non;
Tenancier de Buvette (PNJ);Stade Municipal;Buvette;PNJ - Buvette;serveur;neutral;2;6;4;5;50;non;
Bookmaker Officiel (PNJ);Stade Municipal;Guichet de Paris;PNJ - Paris Sportifs;bookmaker;neutral;;;;;;non;
Meneur des Supporters (PNJ);Stade Municipal;Siege des Supporters;PNJ - Chef de Tribune;meneur_supporters;neutral;;;;;;non;
Hôtesse d'Accueil (PNJ);Quartier des Ambassades;Accueil du Quartier des Ambassades;PNJ - Accueil;hotesse;neutral;2;8;5;6;45;non;
Agent de Sécurité (PNJ);Quartier des Ambassades;Accueil du Quartier des Ambassades;PNJ - Sécurité;agent_securite;neutral;;;;;;non;
Pat Hounette;Place du Formulaire de la Liberté;Place du Formulaire de la Liberté;Dealer;criminel;neutral;;;;;;oui;2026-07-16
Gérard Poinçon (PNJ);Musée de la Ville de Luthécia;Hall d'accueil;Gardien du musée;gardien_musee;neutral;;;;;;oui;
Valérie Loisillon (PNJ);Musée de la Ville de Luthécia;Hall d'accueil;Hôtesse d'accueil;hotesse;neutral;2;8;5;6;45;oui;
Florian Grès (PNJ);Parc Botanique National de Républia;Parc Botanique;Jardinier;jardinier;neutral;;;;;;oui;
Jean-Pierre Ciseaux (PNJ);Parc Botanique National de Républia;Serre Tropicale;Conservateur;conservateur;neutral;;;;;;oui;
Marcel Silo (PNJ);Entrepôt Logistique de Luthécia;Bureau de Direction;Directeur de l'Entrepôt Logistique;directeur_entrepot;neutral;;;;;;non;2026-08-08
Bernard Piluler (PNJ);Usine Pharmaceutique Impériale de Républia;Bureau de Direction;Directeur de l'Usine Pharmaceutique;directeur_pharma;neutral;;;;;;non;2026-08-08
Jean-Lou Zeure;Bureau National de l'Emploi;Accueil;Ancien Maire de Luthécia;citoyen;neutral;;;;;;oui;2026-08-09
