fn,label,pa_data_js,pa_affiche_bouton,cost_data_js,cost_affiche_bouton,statut,cause_probable,ligne_data_js
sanctions_diplo,Imposer des sanctions,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1512
reponses_diplomatiques,Répondre aux propositions,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1513
nommer_ambassadeur_cible,Nommer un ambassadeur,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1514
demettre_ambassadeur_cible,Démettre un ambassadeur de son poste,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1515
expulser_ambassadeur_cible,Expulser un ambassadeur,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1516
calendrier_elections,Calendrier electoral,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1543
consulter_annuaire_deputes,Consulter l\,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1544
observer_debats,Observer les debats,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1559
voter_loi,Voter une loi,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1560
projet_loi,Deposer un projet,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1561
marchander_vote,Marchander un vote,0,0,200,200,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1562
consulter_lobbyiste,Consulter le Lobbyiste,1,0,300,300,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1576
ecouter_rumeurs,Ecouter les rumeurs,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1577
consulter_archives_lois,Consulter les archives,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1589
presentation_office_notarial,Se renseigner sur les services,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1615
redaction_testament,Rediger un testament,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1627
consulter_succession,Consulter une succession,1,0,100,100,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1628
acte_vente_terrain,Officialiser une vente de terrain,1,0,300,300,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1640
racheter_entreprise,Racheter une entreprise,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1641
acte_rachat_entreprise,Officialiser le rachat d\,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1642
acte_rachat_entreprise_preemption,Officialiser une preemption d\,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1643
transferer_compromis,Transférer un compromis,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1644
valider_transfert_compromis,Valider un transfert de compromis,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1645
contrat_mariage,Negocier un contrat de mariage,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1646
demander_divorce,Demander le divorce,1,0,200,200,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1647
consulter_archives_notariales,Consulter les archives notariales,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1659
observer_match,Consulter le calendrier et le classement,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1683
regarder_live,Regarder le live,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1684
prendre_licence_sportive,Prendre sa licence sportive,1,0,300,300,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1696
tenue_entrainement,,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1697
tenue_match,Mettre la tenue de match,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1698
conseil_entraineur_adjoint,,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1699
consommer_buvette,Prendre un verre,1,0,50,50,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1711
choisir_accessoire_club,Acheter un accessoire,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1712
acheter_accessoire_personnalise,Acheter un accessoire personnalisé,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1713
parier_match,Parier sur un match,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1725
consulter_classement_joueurs_club,Connaître le classement des joueurs du club,0,0,75,75,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1726
rejoindre_club_supporters,Rejoindre le club de supporters,1,0,150,150,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1738
consulter_palmares,Consulter le palmares du club,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1739
consulter_organigramme_supporters,Consulter l\,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1740
declencher_election_club,Déclencher une élection,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1741
organiser_manifestation,Organiser une manifestation,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1742
organiser_boycott,Organiser un boycott,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1743
distribuer_tracts_match,Distribuer des tracts avant le match,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1744
postuler_president_club,Postuler au poste de président,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1754
consulter_bureau_president,Consulter le bureau,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1755
proposer_transfert,Proposer un transfert,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1756
gerer_offres_transfert,Gérer les offres reçues,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1757
sponsoriser_club,Sponsoriser le club,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1758
consulter_budget_club,Consulter le budget du club,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1759
gerer_salaires_club,Gérer les salaires des joueurs,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1760
recolter_matiere,Récolter,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1781
plainte,Consulter les affaires en cours,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1806
defense,Se defendre,2,0,300,300,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1807
archives,Consulter les archives,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1820
falsifier_document,Falsifier un document,3,0,300,300,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1821
demander_juge_instruction,Demander à parler à un juge,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1822
gerer_finances,Gerer mon compte,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1847
investir,Investir,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1848
emprunter,Emprunter,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1849
fiscal,Optimisation fiscale,1,0,200,200,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1850
presenter_autorisation_coffre,Présenter une autorisation judiciaire,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1851
louer_local,Louer ce coffre (600 FR/jour),1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1863
gerer_finances,Gérer mes finances,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1864
