fn;label;batiment;salle;poste_requis;taux_reel_pct;palier_propose;palier_canon_pct;categorie;methode_obtention;statut_audit;description
propagande_etat;Propagande d'Etat;Palais Présidentiel;Salle de Presse;president;75;Standard;70;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Campagne de communication massive. +POP important.
dementi;Dementi officiel;Palais Présidentiel;Salle de Presse;president;80;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Selectionner une rumeur active visant le president ou le gouvernement pour la dementir. Succes : rumeur effacee, POP retablie. Echec : perte de POP doublee.
reception_etat;Organiser une reception;Palais Présidentiel;Salle de Reception;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Reception officielle. +INF +POP +relations diplomatiques.
banquet_diplo;Banquet diplomatique;Palais Présidentiel;Salle de Reception;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Inviter des representants etrangers. Ameliore les relations inter-empires.
reserver_chambre_hotel;Reserver une chambre;Hôtel Républica;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Bonus de +2 PA et +3 Moral au prochain Dormir passe dans cette chambre.
choisir_suite;Louer une suite;Hôtel Républica;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Choisir parmi les suites disponibles de l'hotel.
repas_gastronomique;Se nourrir;Hôtel Républica;Salle du Restaurant;(aucun);100;Automatique;100;Lieu;generic-fallback;A verifier (Lieu 85%);Repas gastronomique. +10 Sante, +1 Moral immediats. +1 PA au prochain Dormir.
diner_affaires;Diner d'affaires;Hôtel Républica;Salle du Restaurant;(aucun);100;Automatique;100;Rencontre;doOrder-custom-handler;OK;Invitez un PJ present dans la piece a diner, a vos frais. Si accepte : +10 Sante, +5 INF pour chacun, +1 PA au prochain Dormir. Aucun cout si refuse.
ecouter_rumeurs;Ecouter les tables;Hôtel Républica;Salle du Restaurant;(aucun);95;Automatique;100;Lieu;doOrder-custom-handler;Bruit calibration (±5%);Revele une rumeur vraie (action recente tracee) ou, a defaut, une information generee selon le contexte.
lancer_rumeur_cible;Lancer une rumeur;Hôtel Républica;Salle du Restaurant;(aucun);80;Facile;85;Rencontre;doOrder-custom-handler;Bruit calibration (±5%);Sur un PJ de votre repertoire. Succes : -5 a -20 POP sur la cible. Echec : se retourne contre vous (-5 POP -5 DIS) + risque de detection.
boire_verre;Offrir un verre;Hôtel Républica;Bar;(aucun);100;Automatique;100;Rencontre;doOrder-custom-handler;OK;Invitez un PJ present a boire un verre, a vos frais. Si accepte : +5 Sante, +2 INF, +2 ENT pour chacun. Aucun cout si refuse.
ecouter_rumeurs;Ecouter le barman;Hôtel Républica;Bar;(aucun);90;Facile;85;Lieu;doOrder-custom-handler;Bruit calibration (±5%);Le barman entend tout. Revele une rumeur vraie ou generee selon le contexte.
recruter_informateur_pnj;Recruter un informateur;Hôtel Républica;Bar;(aucun);100;Automatique;100;Rencontre;doOrder-custom-handler;OK;150 FR/jour. Un PNJ rejoint votre groupe en permanence tant que vous le payez. Sa PER (12-18) enrichit la moyenne de PER de votre groupe pour les futurs ordres de localisation.
escort_piege;Organiser une rencontre piège;Hôtel Républica;Bar;(aucun);55;Difficile;55;Rencontre;doOrder-custom-handler;OK;Piéger un adversaire politique. Risque de scandale.
dormir_chambre;Dormir;Hôtel Républica;Chambres;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Reservez une chambre a l'accueil au prealable pour beneficier du bonus. Sans reservation, passez l'ordre Dormir depuis votre fiche personnage.
service_etage;Faire appel au service d'etage;Hôtel Républica;Chambres;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Dejeuner servi en chambre. +10 Sante, +1 Moral immediats. +1 PA au prochain Dormir.
gerer_local;Gérer mon local;Hôtel Républica;Suite Privée — Local à louer;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);
gerer_local;Gérer mon local;Hôtel Républica;Suite Présidentielle — Local à louer;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);
postuler;Postuler a un poste;Palais du Gouvernement;Hall d'entree;(aucun);85;Facile;85;Autres;render-special;OK;PNJ : automatique. PM/President PJ : impossible.
organigramme;Organigramme du pays;Palais du Gouvernement;Hall d'entree;(aucun);100;Automatique;100;Autres;doOrder-custom-handler;OK;Voir qui occupe chaque poste dans votre empire.
nommer_ministre_pm;Nommer des ministres;Palais du Gouvernement;Bureau du Premier Ministre;pm;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Nommer un PJ a un poste ministeriel.
revoquer_ministre_pm;Revoquer un ministre;Palais du Gouvernement;Bureau du Premier Ministre;pm;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Retirer le poste a un ministre en fonction.
declencher_vote_confiance;Déclencher un vote de confiance;Palais du Gouvernement;Bureau du Premier Ministre;pm;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Engager la responsabilite du gouvernement devant l'Assemblee Nationale. Resultat sous 48h.
conference_presse;Conférence de presse;Palais du Gouvernement;Salle de Presse;true;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Annonce officielle au pays entier. Fort impact POP et INF.
propagande_etat;Campagne de propagande;Palais du Gouvernement;Salle de Presse;true;75;Standard;70;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Influence massive de l'opinion publique. +POP important.
dementi;Démenti officiel;Palais du Gouvernement;Salle de Presse;true;80;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Selectionner une rumeur active visant le president ou le gouvernement pour la dementir. Succes : rumeur effacee, POP retablie. Echec : perte de POP doublee.
consulter_dossiers_gouv;Consulter des dossiers;Palais du Gouvernement;Archives Gouvernementales;true;80;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Rapports confidentiels et notes de synthese classifiees du gouvernement.
fuite_info;Produire une fuite;Palais du Gouvernement;Archives Gouvernementales;true;60;Difficile;55;Fonction;generic-fallback;Bruit calibration (±5%);Faire fuiter un document secret.
mobiliser_police;Faire intervenir les forces de l'ordre;Palais du Gouvernement;Bureau - Ministre de l'Interieur;min_int;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Choisir un type d'intervention concrete (blocus, manifestation, quartier sensible).
traiter_manifestations;Traiter les demandes de manifestation;Palais du Gouvernement;Bureau - Ministre de l'Interieur;min_int;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Autoriser ou interdire un rassemblement declare.
demandes_naturalisation;Demandes de naturalisation;Palais du Gouvernement;Bureau - Ministre de l'Interieur;min_int;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Examiner les demandes de naturalisation en attente (delai 48h avant traitement possible).
gerer_couvre_feu;Instaurer un couvre-feu;Palais du Gouvernement;Bureau - Ministre de l'Interieur;min_int;100;Automatique;100;Fonction;doOrder-custom-handler;OK;20h-6h, 2 jours maximum. Degrade IS et POP du gouvernement tant qu'il dure.
subvention_min_int;Allouer une subvention;Palais du Gouvernement;Bureau - Ministre de l'Interieur;min_int;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Subventionner le commissariat de n'importe quelle ville, ou le QHS, depuis la caisse du Ministere.
fixer_impots_nationaux;Fixer le taux d'imposition national;Palais du Gouvernement;Bureau - Ministre des Finances;min_fin;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Voir et modifier le taux d'imposition national en vigueur.
redressement_fiscal;Ordonner un redressement;Palais du Gouvernement;Bureau - Ministre des Finances;min_fin;80;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Cibler un citoyen, un club sportif, une entreprise ou une organisation. Genere des recettes pour l'Etat mais cree des ennemis.
subvention;Accorder une subvention;Palais du Gouvernement;Bureau - Ministre des Finances;min_fin;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Cibler un citoyen, un club sportif, une entreprise ou une organisation. Montant a fixer ensuite (plafond 5000 FR).
fiscal;Repartition budgetaire;Palais du Gouvernement;Bureau - Ministre des Finances;min_fin;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Fixer la repartition des recettes fiscales entre les institutions. Prerogative exclusive du Ministre des Finances.
annuler_poursuites;Classer une plainte;Palais du Gouvernement;Bureau - Ministre de la Justice;min_just;70;Standard;70;Fonction;doOrder-custom-handler;OK;Classer une plainte en cours avant jugement. Cree une dette politique. Coute a la caisse du gouvernement.
ouvrir_enquete;Ouvrir une enquete;Palais du Gouvernement;Bureau - Ministre de la Justice;min_just;90;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Cibler un citoyen, un club sportif, une entreprise ou une organisation. Coute a la caisse du gouvernement.
proposer_grace;Proposer une grace;Palais du Gouvernement;Bureau - Ministre de la Justice;min_just;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Recommander une grace au President — qui devra valider.
nommer_juge;Nommer un juge;Palais du Gouvernement;Bureau - Ministre de la Justice;min_just;90;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Nommer un magistrat favorable. Influence les verdicts futurs.
revoquer_juge;Revoquer un juge;Palais du Gouvernement;Bureau - Ministre de la Justice;min_just;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Retirer le poste au juge actuellement en fonction.
gestion_qhs;Gestion du QHS;Palais du Gouvernement;Bureau - Ministre de la Justice;min_just;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Budget dedie et liste des detenus du QHS. Transferer, ameliorer les conditions, ou faire torturer.
mobiliser_armee;Mobiliser l'armee;Palais du Gouvernement;Bureau - Ministre de la Defense;min_def;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Choisir une destination et donner une feuille de route secrete au Commandant.
activer_cessez_le_feu;Activer un cessez-le-feu;Palais du Gouvernement;Bureau - Ministre de la Defense;min_def;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Activer une treve deja negociee par la diplomatie. Chaque camp doit le faire de son cote.
nommer_commandant;Nommer le Commandant;Palais du Gouvernement;Bureau - Ministre de la Defense;min_def;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Designer le Commandant de la Caserne.
recruter_compagnie;Recruter une compagnie;Palais du Gouvernement;Bureau - Ministre de la Defense;min_def;100;Automatique;100;Fonction;doOrder-custom-handler;OK;100 soldats (4 sections). Coute a la caisse de la caserne.
renseignement;Lancer une operation de renseignement;Palais du Gouvernement;Bureau - Ministre de la Defense;min_def;70;Standard;70;Fonction;doOrder-custom-handler;OK;Espionner un empire etranger. (Substance a venir.)
requisition_civile;Réquisition civile;Palais du Gouvernement;Bureau - Ministre de la Defense;min_def;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Tirage au sort de 24 citoyens pour doubler l'effectif d'une section. Uniquement pendant une mobilisation nationale.
propagande_etat;Campagne de propagande;Palais du Gouvernement;Bureau - Ministre de l'Information;min_info;75;Standard;70;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Influencer massivement l'opinion publique. +POP.
censurer_media;Censurer un media;Palais du Gouvernement;Bureau - Ministre de l'Information;min_info;70;Standard;70;Fonction;doOrder-custom-handler;OK;Interdire un organe de presse. -liberte +controle.
commanditer_sondage;Commanditer un sondage;Palais du Gouvernement;Bureau - Ministre de l'Information;min_info;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Publier un sondage favorable. +INF si bien fait.
dementi;Dementi officiel;Palais du Gouvernement;Bureau - Ministre de l'Information;min_info;80;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Contredire une information defavorable.
proposer_treve;Proposer une trêve;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Proposer une treve a l'homologue d'un empire en guerre. Si acceptee, chaque MG devra ensuite activer le cessez-le-feu de son cote.
accord_diplomatique;Ouvrir des negociations diplomatiques;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;80;Facile;85;Fonction;doOrder-custom-handler;Bruit calibration (±5%);Etablir un canal diplomatique. +8 ID.
signer_traite;Signer un traite;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;70;Standard;70;Fonction;doOrder-custom-handler;OK;Accord bilateral avec un empire etranger.
ouvrir_ambassade;Ouvrir une ambassade;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Etablir une representation diplomatique.
sanctions_diplo;Imposer des sanctions;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;85;Facile;85;Fonction;doOrder-custom-handler;OK;Sanctions economiques ou diplomatiques.
reponses_diplomatiques;Répondre aux propositions;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Consulter et repondre aux propositions diplomatiques recues (traites, negociations).
nommer_ambassadeur_cible;Nommer un ambassadeur;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Designer un contact comme ambassadeur aupres d'un empire.
demettre_ambassadeur_cible;Démettre un ambassadeur de son poste;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Mettre fin, avec effet immediat, a la mission de son propre ambassadeur.
expulser_ambassadeur_cible;Expulser un ambassadeur;Palais du Gouvernement;Bureau - Ministre des Affaires Etrangeres;min_ae;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Declarer persona non grata un ambassadeur etranger present sur le territoire (24h pour quitter le pays, sous peine d'arrestation).
calendrier_elections;Calendrier electoral;Assemblée Nationale;Accueil;(aucun);100;Automatique;100;Autres;doOrder-custom-handler;OK;Consulter le calendrier des elections en cours et a venir.
consulter_annuaire_deputes;Consulter l'annuaire des deputes;Assemblée Nationale;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Liste des 25 sieges et de leurs titulaires actuels (PJ ou PNJ).
observer_debats;Observer les debats;Assemblée Nationale;Hemicycle;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Revele les positions des deputes. +1 INF pour les journalistes.
voter_loi;Voter une loi;Assemblée Nationale;Hemicycle;depute;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Mercredi jusqu'a 20h seulement. Ouvre la liste des lois en attente de vote.
projet_loi;Deposer un projet;Assemblée Nationale;Hemicycle;true;70;Standard;70;Fonction;doOrder-custom-handler;OK;Deposer un projet de loi.
marchander_vote;Marchander un vote;Assemblée Nationale;Hemicycle;(aucun);40;Très difficile;40;Autres;doOrder-custom-handler;OK;Taux 40% + bonus INF. Ouvre la liste des votes en cours. 1 PA consomme en cas de succes uniquement.
consulter_lobbyiste;Consulter le Lobbyiste;Assemblée Nationale;Couloirs;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Contre paiement, le lobbyiste vous garantit un coup de pouce (+20% de reussite) sur votre prochaine tentative de marchandage de vote.
ecouter_rumeurs;Ecouter les rumeurs;Assemblée Nationale;Couloirs;(aucun);70;Standard;70;Lieu;doOrder-custom-handler;OK;Revele une information aléatoire sur un PJ ou PNJ de la ville. Generee par IA selon le contexte politique. Tres utile pour journalistes et espions.
consulter_archives_lois;Consulter les archives;Assemblée Nationale;Salle des Archives;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Liste des lois votees : titre, date, resultat, votes nominatifs. Archivage 3 mois.
plainte;Consulter les affaires en cours;Tribunal;Salle d'audience;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Voir le statut des affaires en cours : en attente de traitement, enquete en cours, transmise au tribunal, jugee.
defense;Se defendre;Tribunal;Salle d'audience;(aucun);50;Difficile;55;Lieu;doOrder-custom-handler;Bruit calibration (±5%);"Taux : 50% de base + CHA - malus si preuve reelle contre vous. Reussite eclatante = affaire classee ; reussite simple = circonstance attenuante ; echec flagrant = aggravation."
archives;Consulter les archives;Tribunal;Greffe;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);
falsifier_document;Falsifier un document;Tribunal;Greffe;(aucun);45;Très difficile;40;Lieu;doOrder-custom-handler;Bruit calibration (±5%);Liste : fausse identite, faux casier vierge, faux permis construire, faux contrat. Cree un objet en inventaire.
demander_juge_instruction;Demander à parler à un juge;Tribunal;Greffe;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Présenter votre dossier d'enquête à un juge.
gerer_finances;Gerer mon compte;Banque Nationale;Accueil;(aucun);100;Automatique;100;Lieu;render-special;A verifier (Lieu 85%);Deposer ou retirer de l'argent. Voir son solde.
investir;Investir;Banque Nationale;Accueil;(aucun);75;Standard;70;Lieu;generic-fallback;Bruit calibration (±5%);Placer des fonds. Rendement dans 24h.
emprunter;Emprunter;Banque Nationale;Accueil;(aucun);70;Standard;70;Lieu;doOrder-custom-handler;OK;Contracter un pret. Taux selon dossier.
fiscal;Optimisation fiscale;Banque Nationale;Accueil;(aucun);85;Facile;85;Lieu;doOrder-custom-handler;OK;Reduire sa fiscalite. Semi-legal.
presenter_autorisation_coffre;Présenter une autorisation judiciaire;Banque Nationale;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Accéder à un coffre grâce à une autorisation du juge.
louer_local;Louer ce coffre (600 FR/jour);Banque Nationale;Coffre Privatif — Local à louer;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);+12 DIS +4 INF. Vos secrets en sécurité absolue.
gerer_finances;Gérer mes finances;Banque Nationale;Coffre Privatif — Local à louer;(aucun);100;Automatique;100;Lieu;render-special;A verifier (Lieu 85%);
gerer_local;Gérer mon coffre;Banque Nationale;Coffre Privatif — Local à louer;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);
gerer_finances;Gerer mon compte;Banque Privée Helvetia;Bureau prive;(aucun);100;Automatique;100;Lieu;render-special;A verifier (Lieu 85%);Depot ou retrait discret.
compte_offshore;Ouvrir compte offshore;Banque Privée Helvetia;Bureau prive;(aucun);80;Facile;85;Lieu;generic-fallback;Bruit calibration (±5%);Compte hors Republia. Moins tracable.
emprunter_prive;Emprunter (sans verification);Banque Privée Helvetia;Bureau prive;(aucun);100;Automatique;100;Lieu;generic-fallback;A verifier (Lieu 85%);Aucune verification. Taux eleve. Methode de recouvrement... directe en cas d'impaye.
blanchiment;Blanchir des fonds;Banque Privée Helvetia;Bureau prive;(aucun);55;Difficile;55;Lieu;generic-fallback;OK;Transformer des fonds douteux en argent propre.
societe_ecran;Creer une societe ecran;Banque Privée Helvetia;Bureau prive;(aucun);60;Difficile;55;Lieu;generic-fallback;Bruit calibration (±5%);Structure pour masquer des transactions.
soins;Consultation et soins;Clinique Privée;Reception;(aucun);100;Automatique;100;Lieu;generic-fallback;A verifier (Lieu 85%);+20 Sante.
soins_urgence;Soins acceleres (urgence);Clinique Privée;Reception;(aucun);100;Automatique;100;Lieu;generic-fallback;A verifier (Lieu 85%);+40 Sante immediatement.
soins_discrets;Soins sans trace;Clinique Privée;Reception;(aucun);95;Automatique;100;Lieu;generic-fallback;Bruit calibration (±5%);+30 Sante. Aucune trace medicale.
centre_anti_poison;Centre anti-poison;Clinique Privée;Reception;(aucun);85;Facile;85;Lieu;doOrder-custom-handler;OK;Guerit un empoisonnement en cours. Limite a 2 tentatives par jour.
parler_pnj;Parler;Clinique Privée;Reception;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Discuter avec le personnel soignant.
se_nourrir;Manger;Clinique Privée;Reception;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Un repas de qualite, servi au chevet.
soins_basiques;Soins basiques (gratuit);Dispensaire Public;Salle d'attente;(aucun);100;Automatique;100;Lieu;generic-fallback;A verifier (Lieu 85%);+10 Sante. Lent mais gratuit.
soins;Consultation medecin;Dispensaire Public;Salle d'attente;(aucun);100;Automatique;100;Lieu;generic-fallback;A verifier (Lieu 85%);+15 Sante.
centre_anti_poison;Centre anti-poison;Dispensaire Public;Salle d'attente;(aucun);65;Standard;70;Lieu;doOrder-custom-handler;Bruit calibration (±5%);Guerit un empoisonnement en cours. Limite a 2 tentatives par jour.
transfert_clinique_privee;Être transféré en clinique privée;Dispensaire Public;Salle d'attente;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Meilleure prise en charge, convalescence plus rapide. 1000 FR.
plainte_police;Porter plainte;Commissariat;Accueil;(aucun);100;Automatique;100;Lieu;render-special;A verifier (Lieu 85%);Contre une personne identifiee ou contre X. Reponse sous 24h.
consulter_caisse_commissariat;Consulter la caisse;Commissariat;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Voir le solde actuel de la caisse du commissariat.
cambrioler_caisse_commissariat;Cambrioler la caisse;Commissariat;Accueil;(aucun);20;Exceptionnel;25;Lieu;doOrder-custom-handler;Bruit calibration (±5%);
archives_police;Consulter les archives;Commissariat;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Registre des detentions passees et en cours, consultable par tous.
arreter;;Commissariat;Accueil;(aucun);50;Difficile;55;Rencontre;doOrder-custom-handler;Bruit calibration (±5%);Necessite un dossier. Mise en garde a vue 24h.
se_justifier;Se justifier (convocation);Commissariat;Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Se presenter suite a une convocation recue par mail. Leve l'avis de recherche associe.
requete_avocat;Requérir les services d'un avocat;Commissariat;Cellules de garde a vue;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Contacte votre avocat. Reduit les risques de condamnation.
se_rebeller;Se rebeller;Commissariat;Cellules de garde a vue;(aucun);30;Exceptionnel;25;Lieu;doOrder-custom-handler;Bruit calibration (±5%);Reserve aux emprisonnes. Defi bruyant aux gardiens : succes = +DIS mais peine allongee, echec = transfert au QHS. Endommage les grilles dans tous les cas.
tentative_evasion;Tenter de s'evader;Commissariat;Cellules de garde a vue;(aucun);10;Désespéré;10;Lieu;doOrder-custom-handler;OK;Tres risque, une tentative par jour. Succes : liberte. Echec : transferement en prison.
mener_enquete;;Commissariat;Bureau du Commissaire;commissaire;35;Très difficile;40;Fonction;doOrder-custom-handler;Bruit calibration (±5%);
organiser_filature;Organiser une filature;Commissariat;Bureau du Commissaire;commissaire;50;Difficile;55;Fonction;doOrder-custom-handler;Bruit calibration (±5%);
organiser_chasse_homme;;Commissariat;Bureau du Commissaire;commissaire;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Localiser et arreter un PJ recherche.
parler_pnj;Parler à la standardiste;L'Autruche Entravée (journal);Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);
se_renseigner;Se renseigner;L'Autruche Entravée (journal);Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);
consulter_archives_presse;Consulter les archives de presse;L'Autruche Entravée (journal);Accueil;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Articles archivés publiés par le journal au fil des décennies.
produire_fuite;Produire une fuite;L'Autruche Entravée (journal);Redaction;(aucun);55;Difficile;55;Rencontre;doOrder-custom-handler;OK;Choisir une cible dans le repertoire. Rumeur IA dans journal. Mail a la cible. -10 INF -10 POP.
fabriquer_scandale;Fabriquer un scandale;L'Autruche Entravée (journal);Redaction;(aucun);35;Très difficile;40;Rencontre;doOrder-custom-handler;Bruit calibration (±5%);Choisir une cible. Rediger le contenu. Bonus journaliste +15%. Si decouvert : Recherche pour diffamation.
interview;Donner une interview;L'Autruche Entravée (journal);Redaction;(aucun);100;Automatique;100;Lieu;doOrder-custom-handler;A verifier (Lieu 85%);Impact sur la popularite.
article;Placer un article favorable;L'Autruche Entravée (journal);Redaction;(aucun);70;Standard;70;Lieu;doOrder-custom-handler;OK;
corrompre_journaliste;Corrompre un journaliste;L'Autruche Entravée (journal);Redaction;(aucun);55;Difficile;55;Lieu;doOrder-custom-handler;OK;
etouffer;Etouffer un article;L'Autruche Entravée (journal);Redaction;(aucun);45;Très difficile;40;Lieu;doOrder-custom-handler;Bruit calibration (±5%);
demander_parler_loge;Demander a parler a quelqu'un;Loge Maçonnique;Portail de la Loge;(aucun);95;Automatique;100;Rencontre;doOrder-custom-handler;Bruit calibration (±5%);Frapper a la porte et demander une audience. Reussite a 95%.
demander_adhesion;Demander a rejoindre la Loge;Loge Maçonnique;Bureau du Venerable Maitre;(aucun);50;Difficile;55;Lieu;generic-fallback;Bruit calibration (±5%);Necessite un parrain. Sans parrain, refus automatique.
demander_info_loge;Demander des informations;Loge Maçonnique;Bureau du Venerable Maitre;(aucun);70;Standard;70;Lieu;doOrder-custom-handler;OK;
